ingredient,cluster_label,x,y,category,color_index,color_hex
alfredo sauce,alfredo sauce,-13.024495124816895,-12.742271423339844,Other,0,#1f77b4
buffalo wing sauce,buffalo wing sauce,19.727767944335938,2.4758682250976562,Other,0,#1f77b4
buttermilk ranch buffalo sauce,buffalo wing sauce,18.935068130493164,2.9794833660125732,Other,0,#1f77b4
wing sauce,buffalo wing sauce,19.931550979614258,2.1031510829925537,Other,0,#1f77b4
corn chips,corn chips,15.604065895080566,18.355119705200195,Other,0,#1f77b4
garlic butter,garlic butter sauce,10.762980461120605,4.322427749633789,Other,0,#1f77b4
garlic butter sauce,garlic butter sauce,11.232577323913574,5.1275434494018555,Other,0,#1f77b4
lemon,lemon,4.925218105316162,2.0359222888946533,Other,0,#1f77b4
mustard oil,mustard oil,8.669812202453613,1.0814917087554932,Other,0,#1f77b4
powdered sugar,powdered sugar,23.52593421936035,-12.241920471191406,Other,0,#1f77b4
gouda,smoked gouda,2.7062995433807373,-10.787331581115723,Other,0,#1f77b4
smoked gouda,smoked gouda,2.434893846511841,-10.822978973388672,Other,0,#1f77b4
tarragon,tarragon,5.806668758392334,-1.5436735153198242,Other,0,#1f77b4
gluten free crust,whole wheat crust,3.223083972930908,21.512529373168945,Other,0,#1f77b4
whole wheat crust,whole wheat crust,3.800905704498291,21.215246200561523,Other,0,#1f77b4
almond,almond,1.204258680343628,18.880704879760742,Other,1,#aec7e8
bulgogi,bulgogi,-11.09859561920166,2.4822816848754883,Other,1,#aec7e8
corn shell,corn shell,17.779050827026367,19.06589698791504,Other,1,#aec7e8
flour shell,corn shell,17.91200828552246,19.978811264038086,Other,1,#aec7e8
taco shell crust,corn shell,18.402990341186523,18.832584381103516,Other,1,#aec7e8
garlic oil,garlic olive oil,8.166455268859863,3.839674472808838,Other,1,#aec7e8
garlic olive oil,garlic olive oil,7.304594993591309,3.9787049293518066,Other,1,#aec7e8
lemon creme fraiche,lemon creme fraiche,9.979741096496582,0.13248679041862488,Other,1,#aec7e8
lemon juice,lemon creme fraiche,10.037758827209473,0.5980507731437683,Other,1,#aec7e8
naan bread,naan bread,13.130819320678711,-8.937433242797852,Other,1,#aec7e8
prime rib,prime rib,-24.553068161010742,-1.6795287132263184,Other,1,#aec7e8
smoked salmon,smoked salmon,-16.91766357421875,-3.8296942710876465,Other,1,#aec7e8
rosemary,thyme,-6.611311435699463,3.6271049976348877,Other,1,#aec7e8
thyme,thyme,-7.083487510681152,2.468719244003296,Other,1,#aec7e8
yeast,yeast,2.4857234954833984,2.2413582801818848,Other,1,#aec7e8
yeast dough,yeast,1.7651969194412231,1.859924554824829,Other,1,#aec7e8
anchovies,anchovies,-10.158403396606445,-2.468532085418701,Other,2,#ff7f0e
bun,bun,5.853771686553955,-11.987458229064941,Other,2,#ff7f0e
creamy garlic sauce,creamy garlic sauce,12.397379875183105,5.835232257843018,Other,2,#ff7f0e
garlic white sauce,garlic white sauce,10.497549057006836,6.648224830627441,Other,2,#ff7f0e
italian spices,garlic white sauce,10.277942657470703,8.09643268585205,Other,2,#ff7f0e
white garlic sauce,garlic white sauce,10.735310554504395,6.725378036499023,Other,2,#ff7f0e
lemongrass,lemongrass,11.491347312927246,1.0000083446502686,Other,2,#ff7f0e
nutella,nutella,-10.246672630310059,-4.232216835021973,Other,2,#ff7f0e
pumpkin,pumpkin,-4.745090484619141,13.314101219177246,Other,2,#ff7f0e
sofrito,sofritto,6.953746795654297,-17.55905532836914,Other,2,#ff7f0e
sofritto,sofritto,6.939320087432861,-17.533666610717773,Other,2,#ff7f0e
tobiko caviar,tobiko caviar,10.6524019241333,-2.076514720916748,Other,2,#ff7f0e
tobiko crunch,tobiko caviar,10.41569995880127,-2.656297206878662,Other,2,#ff7f0e
cilantro,zucchini,-10.564854621887207,-15.65621280670166,Other,2,#ff7f0e
herbs,zucchini,-12.260011672973633,-10.986207008361816,Other,2,#ff7f0e
vegetables,zucchini,-9.299067497253418,-11.879798889160156,Other,2,#ff7f0e
zucchini,zucchini,-10.328693389892578,-12.274374961853027,Other,2,#ff7f0e
artichoke hearts,artichoke hearts,-17.68934440612793,-8.80484676361084,Other,3,#ffbb78
burrata,burrata,-10.39349365234375,1.7583521604537964,Other,3,#ffbb78
croutons,croutons,6.845935344696045,10.455994606018066,Other,3,#ffbb78
grape,grape,-9.18892765045166,11.171749114990234,Other,3,#ffbb78
linguica,linguica,-7.550671100616455,-5.056369781494141,Other,3,#ffbb78
octopus,octopus,4.368841648101807,-4.144509792327881,Other,3,#ffbb78
rapini,rapini,-4.134753227233887,2.092613697052002,Other,3,#ffbb78
soppressata,soppressata,5.875607490539551,-18.388731002807617,Other,3,#ffbb78
tofu,tofu,22.321399688720703,10.321831703186035,Other,3,#ffbb78
zucchini blossom,zucchini blossom,-5.8453803062438965,13.918024063110352,Other,3,#ffbb78
artichoke heart,artichokes,-18.58281707763672,-7.383574962615967,Other,4,#2ca02c
artichokes,artichokes,-17.415945053100586,-7.455808162689209,Other,4,#2ca02c
cajun seasoning,cajun spices,15.075636863708496,4.957840919494629,Other,4,#2ca02c
cajun spices,cajun spices,15.1219482421875,4.489613056182861,Other,4,#2ca02c
crust,crust,-7.1247878074646,-11.422587394714355,Other,4,#2ca02c
dough,crust,-5.673717498779297,-15.125286102294922,Other,4,#2ca02c
pizza dough,crust,-6.040314674377441,-15.3699369430542,Other,4,#2ca02c
topping,crust,-7.510355472564697,-11.355429649353027,Other,4,#2ca02c
broccoli rabe,green onion,-3.9201552867889404,-5.16840934753418,Other,4,#2ca02c
broccolini,green onion,-1.1492254734039307,7.925821304321289,Other,4,#2ca02c
green olive,green onion,-4.570125579833984,-3.356999635696411,Other,4,#2ca02c
green onion,green onion,-3.499016284942627,-6.8774333000183105,Other,4,#2ca02c
kalamata olives,green onion,-4.424777984619141,-2.7751684188842773,Other,4,#2ca02c
leek,green onion,-4.087144374847412,-6.6005635261535645,Other,4,#2ca02c
pine nuts,green onion,-3.315117359161377,-2.3512210845947266,Other,4,#2ca02c
lobster,lobster,1.9932366609573364,-4.150425434112549,Other,4,#2ca02c
olive tapenade,olive tapenade,-4.753492832183838,16.90229034423828,Other,4,#2ca02c
cream sauce,red sauce,-4.519057273864746,-13.465274810791016,Other,4,#2ca02c
red sauce,red sauce,-2.996124267578125,-13.427366256713867,Other,4,#2ca02c
sopressata,sopressata,-10.987180709838867,-0.09552432596683502,Other,4,#2ca02c
truffle,truffle cream,18.33416748046875,-6.460558891296387,Other,4,#2ca02c
truffle cream,truffle cream,18.517227172851562,-7.1480937004089355,Other,4,#2ca02c
arugula,arugula,-13.472641944885254,-7.70164680480957,Other,5,#98df8a
eggplant,arugula,-13.53290843963623,-8.868486404418945,Other,5,#98df8a
caper,caper,-18.273487091064453,-2.048065185546875,Other,5,#98df8a
