region,locality,restaurantCount
,,1
AK,http://www.wikidata.org/entity/Q5430002,1
AL,http://www.wikidata.org/entity/Q79875,1
AL,http://www.wikidata.org/entity/Q1311946,1
AR,Bentonville,1
AR,Cabot,1
AR,http://www.wikidata.org/entity/Q100252346,1
AR,http://www.wikidata.org/entity/Q686415,1
AZ,http://www.wikidata.org/entity/Q1012894,3
AZ,http://www.wikidata.org/entity/Q1366429,3
AZ,http://www.wikidata.org/entity/Q49272,1
AZ,http://www.wikidata.org/entity/Q1866599,1
AZ,Lake Havasu City,1
AZ,http://www.wikidata.org/entity/Q51685,1
AZ,http://www.wikidata.org/entity/Q485716,1
AZ,http://www.wikidata.org/entity/Q546338,1
AZ,Prescott Valley,1
AZ,http://www.wikidata.org/entity/Q936839,1
AZ,http://www.wikidata.org/entity/Q1926562,1
AZ,http://www.wikidata.org/entity/Q122565529,1
Alt De Berwind,http://www.wikidata.org/entity/Q749283,1
Arnold,http://www.wikidata.org/entity/Q49241,1
Atl,http://www.wikidata.org/entity/Q4815973,1
Bamboo,http://www.wikidata.org/entity/Q122572541,1
Bammel,http://www.wikidata.org/entity/Q2230568,1
Baxter Estates,http://www.wikidata.org/entity/Q116043225,2
Bellefonte,http://www.wikidata.org/entity/Q2866526,1
Bengal,http://www.wikidata.org/entity/Q5491176,1
Bicentennial,http://www.wikidata.org/entity/Q16910,2
Bloomfld Hls,Bloomfield Hills,1
Bloomington Heights,http://www.wikidata.org/entity/Q4928330,1
Bloomington Hills,http://www.wikidata.org/entity/Q731606,1
Blue Anchor,Hammonton,1
Bouquet Canyon,http://www.wikidata.org/entity/Q491132,1
Brandtsville,http://www.wikidata.org/entity/Q3293366,1
Brentwood,http://www.wikidata.org/entity/Q16910,2
Briarcliff Mnr,Briarcliff Manor,1
Brownhelm,http://www.wikidata.org/entity/Q470594,1
Brownsboro Farm,http://www.wikidata.org/entity/Q20714826,1
Brownstown Twp,Flat Rock,1
Brownstown Twp,http://www.wikidata.org/entity/Q2739754,1
Bunker Hill Village,http://www.wikidata.org/entity/Q2230568,1
Burlngtn City,http://www.wikidata.org/entity/Q2928514,1
CA,http://www.wikidata.org/entity/Q1018781,5
CA,http://www.wikidata.org/entity/Q494707,3
CA,http://www.wikidata.org/entity/Q122565429,2
CA,Yucaipa,2
CA,http://www.wikidata.org/entity/Q208447,2
CA,http://www.wikidata.org/entity/Q1774629,2
CA,http://www.wikidata.org/entity/Q7396948,2
CA,http://www.wikidata.org/entity/Q949535,2
CA,http://www.wikidata.org/entity/Q204561,2
CA,http://www.wikidata.org/entity/Q7128494,2
CA,Redwood City,1
CA,http://www.wikidata.org/entity/Q4705846,1
CA,http://www.wikidata.org/entity/Q115666690,1
CA,http://www.wikidata.org/entity/Q122558417,1
CA,Aliso Viejo,1
CA,http://www.wikidata.org/entity/Q2837518,1
CA,http://www.wikidata.org/entity/Q499196,1
CA,http://www.wikidata.org/entity/Q5917,1
CA,Solana Beach,1
CA,http://www.wikidata.org/entity/Q14875607,1
CA,Hermosa Beach,1
CA,Rohnert Park,1
CA,http://www.wikidata.org/entity/Q16910,1
CA,Canoga Park,1
CA,http://www.wikidata.org/entity/Q486868,1
CA,http://www.wikidata.org/entity/Q208445,1
CA,http://www.wikidata.org/entity/Q909993,1
CA,http://www.wikidata.org/entity/Q20219019,1
CA,Lathrop,1
CA,http://www.wikidata.org/entity/Q368045,1
CA,http://www.wikidata.org/entity/Q122572546,1
CA,Dinuba,1
CA,Petaluma,1
CA,http://www.wikidata.org/entity/Q122539015,1
CA,Tracy,1
CA,http://www.wikidata.org/entity/Q23691511,1
CA,http://www.wikidata.org/entity/Q5221330,1
CA,Studio City,1
CA,http://www.wikidata.org/entity/Q497445,1
CA,http://www.wikidata.org/entity/Q575855,1
CA,http://www.wikidata.org/entity/Q3392171,1
