restaurant,label
http://ontology.daniel-motz.de/ontology#Pizzeria_236,Milt's Pizza Place Llc
http://ontology.daniel-motz.de/ontology#Pizzeria_812,Bertucci's
http://ontology.daniel-motz.de/ontology#Pizzeria_455,Ak Diamonds
http://ontology.daniel-motz.de/ontology#Pizzeria_306,Pizza City
http://ontology.daniel-motz.de/ontology#Pizzeria_428,Villa Rose Pizza
http://ontology.daniel-motz.de/ontology#Pizzeria_835,San Biagio's Pizza
http://ontology.daniel-motz.de/ontology#Pizzeria_107,Valley Lahvosh Baking
http://ontology.daniel-motz.de/ontology#Pizzeria_200,La Hacienda Real
http://ontology.daniel-motz.de/ontology#Pizzeria_106,Baldinelli Pizza
http://ontology.daniel-motz.de/ontology#Pizzeria_456,Papa John's Pizza
http://ontology.daniel-motz.de/ontology#Pizzeria_671,Two Brothers Deli
http://ontology.daniel-motz.de/ontology#Pizzeria_77,Sir Pizza
